Car_name,rating,image,Min_price,Max_price
腾势D9,4.58,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M07/31/CC/436x333_autohomecar__ChxoHWXpU8CAcho9AAtC11uVgY8716.png,33.98,66.00
岚图梦想家,4.57,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M0A/AF/CF/436x333_autohomecar__ChxkPWbO-LOAHLYnAAlVwkJ72F4419.png,32.99,63.99
传祺E8新能源,4.51,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M00/F3/38/436x333_autohomecar__ChxkmWWFZa2AdKq6AAfJm9TZz4U546.png,20.98,23.88
别克GL8新能源,4.50,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M01/1C/5D/436x333_autohomecar__ChtlyGYd2aaAGVMGAAYb_RvGrA4088.png,35.99,41.99
极狐考拉,4.56,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M01/9F/4D/436x333_autohomecar__ChxoHWY8dOqAV-6UAAh6Om5S_Gs667.png,13.18,16.98
极氪009,4.50,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M06/D2/4B/436x333_autohomecar__ChsEbGLx7s2ATAMTAAc1ExfXQ-s684.png,43.90,78.90
奔腾NAT,4.54,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M08/22/BD/436x333_autohomecar__ChwFkGBzsm6AZTgFAAbrqpTMf5g503.png,14.78,16.48
小鹏X9,4.51,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M04/81/89/436x333_autohomecar__ChxknGWAF0uAK_ixAAepRrM6sT0015.png,35.98,41.98
传祺E9,4.50,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M06/F0/AB/436x333_autohomecar__ChxkPmcy6xWAfZEOAAdi0URpA7E069.png,31.98,40.98
远志M1,4.71,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M08/B8/74/436x333_autohomecar__ChsEoF9oDp6AQvVlAAwAA1ey5Cg447.png,17.48,31.88
理想MEGA,4.54,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M04/A7/78/436x333_autohomecar__ChxoHmXhbKyAeUwHAAaTFRV_7SI451.png,52.98,52.98
星海V9,4.40,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M0A/14/62/436x333_autohomecar__ChxkPmc0fhaARlKZAAksmPrW3ic124.png,19.99,27.99
魏牌 高山,4.42,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M00/04/CB/436x333_autohomecar__ChxknGV4ECSAVWmBAAmWFZsbcSI382.png,31.58,40.58
红旗HQ9 PHEV,4.54,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M02/62/B3/436x333_autohomecar__ChxoHmYEzl6ATo_hAAuY0t6l4Bo711.png,35.88,53.88
大家9,4.57,https://g.autoimg.cn/@img/car2/cardfs/series/g26/M08/21/D8/436x333_autohomecar__ChsEdmLCeuOAFO9KAAfv7DneaAs593.png,25.99,44.99
菱智M5EV,4.23,https://g.autoimg.cn/@img/car3/cardfs/series/g29/M03/97/D7/436x333_autohomecar__ChsEn1vD9xCAVHTqAAkSFFmWt00601.png,15.99,19.69
比亚迪e6,4.48,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M07/07/8B/436x333_autohomecar__Chtk2WcZremABwfxAAhQZW1JVY4082.png,26.98,26.98
瑞风RF8 PHEV,4.53,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M0A/6D/96/436x333_autohomecar__ChtliGWFaAuAC10BAAjq9wxWXqw098.png,20.99,28.57
大家7,4.59,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M00/A7/B6/436x333_autohomecar__ChtlxmVbCCaAUkpyAAYK3H4RbCU193.png,19.49,30.48
L380,4.57,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M02/5B/37/436x333_autohomecar__ChtlyGYfKhOAX01dAAhZtiwF0sM637.png,37.99,47.99
极氪MIX,4.52,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M0B/FC/5B/436x333_autohomecar__Chtk2WcY9juAfUWRAAkhf9BXs-A251.png,27.99,29.99
大家5,4.58,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M0A/35/37/436x333_autohomecar__ChxoHmW4ykOAEtQsAAlFZleLmMk655.png,17.38,23.28
沃尔沃EM90,3.59,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M00/DA/29/436x333_autohomecar__CjIFV2VTHj-AODFlAAW7xrn6PiQ164.png,81.80,81.80
荣威iMAX8新能源,4.58,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M09/14/7B/436x333_autohomecar__CjIFVmS1AUmAbSHDAApsq15EKIo792.png,19.99,35.98
瑞风E3,4.50,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M02/2F/4F/436x333_autohomecar__ChwFlGJdKIOABYkBAAtSKRdNRu4262.png,13.99,20.88
比亚迪D1,4.46,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M00/5D/64/436x333_autohomecar__ChtliGSiNYqABUaUAAcAgqN7c1U152.png,16.08,16.98
风光E380,4.59,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M05/E9/0E/436x333_autohomecar__ChxknGNjfIWAHy3-AE-JX6meXok121.png,12.91,16.91
合创V09,4.28,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M07/36/77/436x333_autohomecar__CjIFU2T_-WaAShL4AAfwWgDBjnY935.png,31.88,43.88
枫叶80v,4.31,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M06/C0/42/436x333_autohomecar__ChwFlGBIi6SASMNJAAjh1F84jOM996.png,8.98,15.98
宋MAX新能源,0,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M09/E0/6A/436x333_autohomecar__ChxkqWIuxzWAJWZyAAh6Awd543c075.png,14.78,17.48
海马7X新能源,0,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M0A/E9/31/436x333_autohomecar__ChxkqWSiNseAADQ-AAdRXk093YU560.png,21.98,25.98
